address;phone
220016, г. Минск, ул. Карла Маркса 38;obj['phone']
220008, г. Минск, ул. Ленина 14;obj['phone']
220030, г. Минск, ул. Кирова 33;obj['phone']
220050, г. Минск, пр-т. Независимости 10;obj['phone']
220029, г. Минск, ул. Коммунистическая 3;obj['phone']
220048, г. Минск, ул. Романовская Слобода 24;obj['phone']
220010, г. Минск, ул. Советская 11;obj['phone']
220088, г. Минск, ул. Пулихова 19;obj['phone']
220002, г. Минск, ул. Сторожевская 8;obj['phone']
220034, г. Минск, ул. Козлова 6;obj['phone']
220011, г. Минск, пл. Привокзальная 5;obj['phone']
220126, г. Минск, пр-т. Победителей 21;obj['phone']
220060, г. Минск, ул. Вокзальная 22;obj['phone']
220005, г. Минск, пр-т. Независимости 46;obj['phone']
220123, г. Минск, ул. Максима Богдановича 53;obj['phone']
220071, г. Минск, ул. Смолячкова 21;obj['phone']
220006, г. Минск, ул. Маяковского 8;obj['phone']
220004, г. Минск, ул. Максима Танка 36/2;obj['phone']
220001, г. Минск, ул. Московская 16;obj['phone']
220007, г. Минск, ул. Жуковского 6/2;obj['phone']
220038, г. Минск, ул. Долгобродская 4;obj['phone']
220097, г. Минск, ул. Куйбышева 75;obj['phone']
220035, г. Минск, ул. Тарханова 11;obj['phone']
220036, г. Минск, ул. Коржа 11;obj['phone']
220033, г. Минск, ул. Рыбалко 2;obj['phone']
